序号,瓷砖颜色编号
1,12
2,15
3,6
4,6
5,5
6,12
7,11
8,7
9,6
10,16
11,6
12,7
13,16
14,15
15,6
16,5
17,12
18,5
19,5
20,5
21,11
22,7
23,5
24,7
25,16
26,5
27,11
28,6
29,6
30,5
31,12
32,5
33,11
34,7
35,6
36,5
37,12
38,5
39,11
40,7
41,7
42,15
43,5
44,11
45,11
46,11
47,7
48,11
49,11
50,6
51,16
52,16
53,16
54,11
55,11
56,7
57,11
58,16
59,11
60,11
61,6
62,15
63,6
64,12
65,6
66,5
67,12
68,7
69,5
70,12
71,1
72,11
73,5
74,11
75,6
76,11
77,7
78,16
79,11
80,11
81,11
82,11
83,12
84,5
85,15
86,7
87,11
88,11
89,16
90,12
91,5
92,11
93,11
94,10
95,11
96,5
97,11
98,15
99,6
100,5
101,11
102,6
103,5
104,5
105,11
106,11
107,10
108,10
109,5
110,15
111,15
112,20
113,5
114,12
115,5
116,11
117,10
118,16
119,11
120,12
121,15
122,15
123,13
124,22
125,12
126,15
127,18
128,22
129,14
130,10
131,14
132,22
133,11
134,13
135,10
136,10
137,13
138,22
139,3
140,13
141,10
142,18
143,15
144,10
145,20
146,13
147,13
148,22
149,18
150,19
151,10
152,4
153,13
154,3
155,3
156,15
157,13
158,19
159,10
160,13
161,8
162,3
163,13
164,22
165,13
166,9
167,13
168,9
169,19
170,22
171,13
172,17
173,22
174,4
175,8
176,19
177,19
178,19
179,13
180,8
181,19
182,13
183,17
184,19
185,8
186,9
187,8
188,13
189,14
190,4
191,22
192,9
193,17
194,17
195,4
196,8
197,8
198,13
199,13
200,9
