1,12
2,5
3,6
4,6
5,5
6,12
7,11
8,7
9,6
10,6
11,11
12,7
13,16
14,5
15,6
16,5
17,12
18,5
19,12
20,5
21,11
22,7
23,5
24,7
25,16
26,5
27,11
28,6
29,6
30,5
31,12
32,5
33,11
34,7
35,7
36,5
37,12
38,12
39,11
40,7
41,7
42,15
43,5
44,11
45,6
46,1
47,7
48,11
49,11
50,6
51,6
52,16
53,16
54,11
55,11
56,7
57,11
58,16
59,11
60,11
61,6
62,15
63,6
64,12
65,11
66,5
67,12
68,7
69,5
70,12
71,1
72,11
73,5
74,11
75,6
76,11
77,7
78,16
79,1
80,11
81,11
82,6
83,12
84,7
85,5
86,7
87,11
88,11
89,16
90,12
91,5
92,11
93,11
94,10
95,11
96,5
97,11
98,5
99,6
100,7
101,11
102,11
103,5
104,5
105,11
106,11
107,10
108,10
109,10
110,15
111,5
112,20
113,10
114,20
115,7
116,11
117,10
118,20
119,13
120,12
121,15
122,5
123,13
124,11
125,20
126,5
127,18
128,11
129,10
130,10
131,14
132,22
133,11
134,11
135,10
136,10
137,13
138,22
139,3
140,22
141,9
142,18
143,5
144,10
145,20
146,13
147,22
148,22
149,18
150,19
151,10
152,14
153,13
154,17
155,10
156,19
157,11
158,19
159,10
160,13
161,18
162,3
163,13
164,11
165,13
166,9
167,13
168,10
169,10
170,11
171,13
172,17
173,22
174,4
175,8
176,19
177,19
178,19
179,13
180,8
181,2
182,13
183,10
184,19
185,22
186,14
187,8
188,13
189,14
190,4
191,22
192,10
193,17
194,17
195,4
196,8
197,8
198,13
199,13
200,9
